Majority protein IDs- with isoform information,Replicate,Ratio M/L 1,Ratio M/L 2,Ratio M/L 3,Ratio M/L 4,Ratio M/L 5,Ratio M/L 6,Ratio M/L 7,Ratio M/L 8,Ratio M/L 9,Ratio M/L 10,Ratio M/L 11,Ratio M/L 12,Ratio M/L 13,Ratio M/L 14,Ratio M/L 15,Ratio M/L 16,Ratio M/L 17,Ratio M/L 18,Ratio M/L 19,Ratio M/L 20,Ratio M/L 21,Ratio M/L 22,Ratio M/L 23,Ratio M/L 24,Ratio M/L 25,Ratio M/L 26,Ratio M/L 27,Ratio M/L 28,Ratio M/L 29,Ratio M/L 30,Ratio M/L 31,Ratio M/L 32,Ratio M/L 33,Ratio M/L 34,Ratio M/L 35,Ratio M/L 36,Ratio M/L 37,Ratio M/L 38,Ratio M/L 39,Ratio M/L 40,Ratio M/L 41,Ratio M/L 42,Ratio M/L 43,Ratio M/L 44,Ratio M/L 45,Ratio M/L 46,Ratio M/L 47,Ratio M/L 48,Ratio M/L 49,Ratio M/L 50,Ratio M/L 51,Ratio M/L 52,Ratio M/L 53,Ratio M/L 54,Ratio M/L 55
Q9BV19,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.68421,NaN,NaN,NaN,NaN,NaN,NaN,1.8392,NaN,3.0664,3.4393,2.2513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BV20,3,0.11211,0.33289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.039931,0.14497,0.27379,0.11682,0.1219,0.027881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9121,1.9631,3.2813,5.0721,3.686,2.5453
Q9BV44,3,0.31127,0.12807,0.28421,NaN,NaN,0.41147,0.70687,NaN,0.43708,0.22286,0.29925,0.67227,0.28233,NaN,0.375,0.29148,0.32445,0.25821,0.29625,0.35026,0.4227,0.4274,0.48966,0.40112,0.60016,NaN,0.49219,0.65794,1.0616,1.6223,1.7105,2.3975,2.5918,2.6809,2.6686,3.8516,5.319,4.6196,5.2116,8.1663,6.3088,6.9954,7.8465,4.7911,2.2746,1.8125,1.2628,0.80531,0.46266,0.45512,0.43314,NaN,NaN,NaN,NaN
Q9BV68-2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BVA0,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6103,NaN,1.368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BVC6,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BVI4,3,NaN,1.9212,2.5772,2.1402,2.2808,3.6576,2.6433,3.1347,2.606,2.103,2.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BVJ6,3,NaN,1.1503,2.7438,2.7665,2.4674,3.052,2.3124,2.672,2.3124,3.8754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BVL4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0963,4.6581
Q9BVP2-2,3,NaN,2.1068,5.2448,8.0271,6.5611,3.7909,5.6275,4.5327,7.7437,3.4431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BVQ7,3,NaN,1.5823,2.8681,2.8699,3.3468,3.211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BVS4,3,NaN,NaN,NaN,NaN,1.7118,1.5921,2.7903,2.7951,4.1329,2.8748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2488,NaN,NaN,NaN
Q9BVW5,3,NaN,NaN,NaN,0.69418,NaN,NaN,NaN,NaN,NaN,0.60608,0.53414,0.4749,0.53926,NaN,NaN,0.53689,0.64366,0.64856,0.72765,NaN,NaN,1.08,1.0367,0.80851,1.3226,1.427,1.216,1.816,0.95884,2.6007,4.077,4.1231,5.2656,4.1481,2.8491,2.694,1.8037,1.6892,1.5916,1.429,1.3559,1.4632,1.7938,2.0162,2.7936,2.3408,1.8709,1.1192,NaN,NaN,NaN,1.2178,NaN,1.4174,NaN
Q9BW19,3,0.27072,2.6336,2.0795,3.1352,4.2451,2.9665,2.1479,2.5481,0.76196,0.48555,0.53303,0.49147,0.4404,0.54725,0.45177,0.21731,0.14232,NaN,NaN,NaN,NaN,1.8318,1.9161,0.57884,0.52738,NaN,NaN,0.71535,0.30492,2.0985,0.98867,1.267,1.0677,2.4045,1.057,1.0172,1.0915,0.98551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BW27,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1822,1.4825,0.95311,0.51854,0.52136,0.53242,0.43761,NaN,NaN,NaN,NaN,NaN,NaN,0.66204,1.3975,1.3969,1.4377,1.2329,0.78857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1894,2.6141,2.6903,2.6873,1.7049,NaN,NaN,NaN,NaN,NaN,NaN
Q9BW60-2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BW61,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.65094,NaN,NaN,NaN,NaN,2.4804,2.3885,4.952,NaN,0.97422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2289,1.6573,NaN,NaN,NaN,NaN,NaN,1.8461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BW71,3,0.16325,0.21083,0.52902,NaN,NaN,0.3422,NaN,0.1071,0.19491,0.24196,0.21624,NaN,NaN,NaN,0.19119,0.15557,0.1593,0.29115,0.35035,0.44342,NaN,0.58005,0.6149,0.58923,NaN,0.80751,1.0396,0.8578,1.0672,1.28,1.1541,1.8669,1.5923,2.1695,3.3503,4.0756,6.806,6.0279,8.2937,7.4426,6.0866,8.1026,3.4428,4.1306,2.4191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BW85,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1519,NaN,8.295,4.4846
Q9BW92,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9828,2.9777,2.9748,1.8859,NaN,NaN,NaN,NaN,NaN
Q9BWD1,3,0.10837,0.18534,0.21054,0.15489,0.29554,0.16359,0.1781,0.14319,0.22819,0.18594,0.23308,0.21962,0.15341,0.053941,0.22139,0.14685,0.18552,0.22787,0.23833,0.13529,0.09996,0.11429,0.19666,0.19219,0.065195,0.15826,0.15299,0.13155,0.1095,0.077314,0.16743,0.17436,0.16416,0.15443,0.19971,0.091618,0.14511,0.10876,0.1567,0.13322,0.17238,0.24933,0.25589,0.42769,1.591,5.4468,9.1354,12.109,10.426,7.712,5.239,3.8064,3.8062,3.9927,3.5839
Q9BWF3,3,1.2855,2.0799,2.9494,3.6015,3.2796,3.2426,2.4107,2.5178,2.3569,2.0564,1.9771,1.3287,1.0065,NaN,NaN,0.64746,0.64433,NaN,NaN,NaN,NaN,0.62574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2829,NaN,NaN,NaN,NaN,1.1571,1.2228,1.0997,1.2307,NaN,1.2781,1.4548,1.1702,1.2288,NaN,NaN,NaN,NaN,NaN,NaN
Q9BWH6,3,0.12375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.58396,0.6032,0.95007,0.79783,0.6341,NaN,NaN,1.7788,1.3882,1.587,2.1088,2.8703,2.8279,3.0944,3.2755,2.7433,2.436,1.028,NaN,NaN,NaN,NaN,1.0679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.73884,NaN,NaN,NaN,NaN,NaN,NaN
Q9BWJ5,3,1.0809,2.6373,4.0335,4.6435,2.4144,1.9649,2.4312,5.1779,7.8173,5.8366,6.4564,6.4988,4.3465,1.5237,0.61898,0.41767,0.36075,0.40878,0.37887,0.36842,0.46761,0.41404,0.39445,0.45543,NaN,0.34631,0.31737,0.32073,0.47664,0.32056,0.33012,0.35202,0.30455,0.27842,0.36021,0.36547,0.45267,0.4228,0.5045,0.5364,0.56801,1.2043,3.2625,4.8904,5.8537,5.5645,2.2439,0.78766,0.33978,NaN,NaN,0.42194,NaN,NaN,NaN
Q9BWU0,3,0.39,NaN,NaN,NaN,NaN,NaN,1.5857,5.5829,6.9623,10.58,9.2648,7.7226,3.121,1.0517,NaN,0.3963,0.37442,0.44763,0.45217,NaN,NaN,NaN,NaN,0.29362,0.22315,NaN,NaN,0.30649,0.3036,NaN,NaN,NaN,0.9813,1.2293,1.9528,2.1971,1.5858,1.079,NaN,NaN,NaN,0.31215,0.3624,0.15897,0.20018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BX40,3,NaN,NaN,NaN,2.5794,2.5234,1.4713,2.0489,NaN,1.6065,2.0259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BXB4,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.55047,0.53338,NaN,NaN,0.69373,NaN,0.80849,NaN,NaN,1.6014,0.87478,1.5233,1.575,1.416,3.9556,3.767,8.1255,9.2712,4.9828,3.6083,3.2948,2.8224,1.7346,2.0561,1.7646,1.6921,2.2624,2.0178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BXI6,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BXJ9,3,0.11873,0.14659,0.15175,0.45353,0.37329,0.17924,0.16938,0.18322,0.21426,0.26118,0.11354,0.10774,0.17607,0.12181,0.11573,0.13779,0.12595,0.16524,0.19129,0.24061,0.30658,0.20374,0.22852,0.21023,0.19471,0.20796,0.3361,0.26898,0.25873,0.29158,0.33106,0.39733,0.43036,0.45663,0.53683,0.63455,0.64271,0.84114,0.91532,1.1667,2.0935,5.8448,9.6917,9.2578,7.6202,5.9235,3.23,1.4177,0.65319,0.4709,0.31579,0.15391,NaN,0.30036,0.19009
Q9BXP5-4,3,0.59686,1.3539,2.3614,1.3132,1.9764,1.758,1.8406,1.5131,1.2552,1.1973,1.1069,1.007,0.91037,0.89467,0.93266,0.86301,0.8628,1.0985,1.3145,1.3426,1.927,1.7097,1.7218,1.8131,1.9397,2.2956,2.2479,2.8052,2.413,2.43,2.318,2.4345,2.2578,2.4244,2.2984,3.2336,2.6061,3.1047,3.8003,4.5899,4.3003,6.4423,5.7385,4.2906,3.1823,2.9569,2.0633,2.1982,2.1678,2.1633,1.5577,1.5182,NaN,1.6713,1.412
Q9BXR0,3,0.19172,0.1438,NaN,NaN,NaN,NaN,NaN,0.27917,0.19865,0.15974,NaN,0.21423,0.25531,0.27115,0.15969,0.2238,0.14584,0.15313,0.29149,0.41997,0.36039,0.25826,0.31915,0.34818,0.33798,0.28486,NaN,0.31292,0.28666,0.21274,0.24237,0.28524,0.30604,0.38617,0.67892,1.1583,1.1946,1.1343,1.1054,0.76108,0.8268,1.1702,1.585,2.61,6.6982,8.9026,10.073,5.8634,1.7953,1.6003,0.85784,0.58146,NaN,NaN,NaN
Q9BXS6-2,3,NaN,NaN,NaN,4.0866,3.5998,NaN,1.1693,2.0358,2.4975,NaN,1.2895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3485,2.5027,1.6466,1.4709,NaN,1.2453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BXS6-4,3,NaN,1.9623,9.5099,NaN,12.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BXV9,3,0.036417,0.27527,0.22119,0.20931,NaN,0.14229,0.40053,0.13283,NaN,0.083656,NaN,NaN,NaN,0.10066,NaN,0.06872,0.090753,0.08174,0.059397,NaN,NaN,NaN,0.09274,0.14182,NaN,0.36394,NaN,NaN,0.23561,NaN,NaN,NaN,0.32649,NaN,NaN,NaN,0.62892,0.76546,0.72744,NaN,2.1519,4.96,8.0656,4.3184,4.1944,4.053,NaN,NaN,NaN,NaN,NaN,0.59234,2.9516,2.5964,2.5797
Q9BXW7-2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BXY0,3,NaN,NaN,NaN,2.4174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BY77,3,2.9491,4.0615,3.9259,8.0416,7.1855,NaN,NaN,NaN,1.7689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BYD1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.83,4.7147,3.4122,3.2271,3.7491,NaN,1.3523,0.90373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BYD2,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.90744,3.5421,3.5015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BYD6,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8565,2.8945,2.6133,3.2226,1.5149,0.65427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BYG5,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1702,3.3345,2.4391,1.6551,3.2406,NaN,NaN,NaN,NaN,NaN,NaN,1.8302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BYM8,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.57166,NaN,NaN,NaN,NaN,NaN,NaN,1.6066,NaN,1.8319,2.3128,3.1433,3.8513,2.2575,0.87065,2.63,2.0242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9796,NaN,2.2929,NaN,NaN,NaN,NaN,NaN
Q9BYN8,3,NaN,NaN,NaN,NaN,NaN,NaN,2.7271,1.8432,2.1524,3.7061,3.6988,8.3278,5.9477,5.3707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BZ23-3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.99607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2027,NaN,2.1881,1.9017
Q9BZE2,3,0.11373,NaN,NaN,NaN,NaN,NaN,NaN,0.15885,NaN,0.30037,NaN,NaN,0.23283,NaN,NaN,0.40507,0.46202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2356,1.4261,2.0335,6.55,7.3996,7.9921,3.1772,2.6529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BZE4,3,1.9203,3.3707,6.1909,7.0024,9.7159,7.5607,7.2568,6.2904,3.4135,7.1658,3.3493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BZE9,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23586,0.3123,0.80759,0.95172,1.0055,1.4721,2.3528,2.2141,2.5754,2.3866,3.0842,1.9563,2.2049,1.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6726,2.5866,1.4886,4.9542,2.3939,2.2646,3.8197,2.34,1.9079,1.3823,0.97042,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BZI7-2,3,NaN,NaN,0.44842,3.1484,1.6368,0.74935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BZK7,3,NaN,NaN,4.1741,2.5615,NaN,1.8014,3.1633,2.9834,NaN,4.4001,3.1309,5.8811,4.0796,6.6726,4.8061,2.7593,2.4936,NaN,NaN,0.73926,2.4542,1.9036,NaN,1.1754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9BZX2,3,0.10068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.48817,0.42173,NaN,NaN,NaN,NaN,0.80034,1.0919,1.1786,0.86383,0.79089,NaN,1.3117,0.87682,1.3176,1.4421,1.8741,2.4568,1.3146,1.6335,2.1008,0.83841,1.2433,0.74451,0.5577,0.64114,0.77305,NaN,0.90136,NaN,NaN,NaN,0.9078,NaN,0.98437,NaN,1.4329,1.546,2.9126,2.9962,2.8625,3.1404,2.5139,1.7912,2.2838,1.1894
Q9BZZ5-2,3,NaN,NaN,1.5256,1.5799,1.2117,NaN,NaN,NaN,NaN,1.2947,NaN,NaN,0.74689,NaN,0.55396,1.4385,0.66976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5052,9.1459,3.0477,3.6629
Q9C005,3,NaN,1.7518,1.8161,6.2425,2.5973,2.4978,2.3189,2.7576,2.2593,2.7655,1.6277,NaN,1.9093,3.8852,3.4257,NaN,0.91257,NaN,NaN,NaN,NaN,NaN,NaN,1.5972,2.1112,NaN,3.5759,2.4771,3.0837,2.603,3.4414,5.176,2.5357,2.2947,2.0138,NaN,NaN,3.0201,2.1425,NaN,NaN,3.7396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9C0B0,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.64615,NaN,NaN,NaN,NaN,NaN,3.9585,NaN,3.0609,2.6944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q9C0B1,3,0.16195,NaN,NaN,NaN,NaN,NaN,NaN,0.24416,NaN,0.26548,NaN,0.25991,0.43547,NaN,NaN,0.93832,0.16408,0.29053,0.31353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.39146,0.44507,0.3011,NaN,0.3065,0.43049,NaN,0.48699,0.49093,0.50601,0.5844,0.58963,0.29226,0.9514,0.73997,0.84591,0.891,0.68185,0.75236,1.6794,1.0423,2.4936,3.2318,5.1352,4.3593
